"","T0","T1","T2","T2.5","T3","T3.5","T4","T5","Urysohn","Semiregular","Regular","CompletelyRegular","Normal","CompletelyNormal","PerfectlyNormal","Compact","sigmaCompact","Lindelof","CountablyCompact","SequentiallyCompact","WeakCountCompact","Pseudocompact","LocallyCompact","StrongLocCompact","sigmaLocallyCompact","Separable","SecondCountable","FirstCountable","CountChainCond","Paracompact","Metacompact","CountParacompact","CountMetacompact","FullyNormal","FullyT4","Connected","PathConnected","ArcConnected","Hyperconnected","Ultraconnected","LocallyConnected","LocalPathConnected","LocalArcConnected","Biconnected","HasDispersionPoint","TotallyPathDisc","TotallyDisconnected","TotallySeparated","ExtremallyDisc","ZeroDimensional","Scattered","Discrete","Metrizable","sigmaLocallyFiniteBase","TopolComplete","SecondCategory","Countable","CardLessThanC","Card=C","CardNotExc2^C","StronglyConnected"
"Example1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"Example2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"Example3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,0
"Example4",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,1,NA,1,NA,NA,NA,NA,1
"Example5",0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Example6",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,1,1,0,1,0
"Example7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Example8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,NA,1,1,1,0,1,1
"Example9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,NA,1,1,1,0,1,1
"Example10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,NA,1,0,NA,NA,NA,1
